 Instruction                FT    IS    RO    EX    WB   RAW  WAW  Struct
 LI R1, 8.0                 13    14    15    16    17   N    N    N
 LI R2, 312.0               14    18    19    20    21   N    N    Y
 LI R4, 256.0               18    22    23    24    25   N    N    Y
 PP :LW R3, R4, 0(R4)       22    23    26    47    48   Y    N    N
 LD F1, R4, 12(R4)          35    49    50    64    65   N    N    Y
 ADDD F3, F1, F1            49    50    66    68    69   Y    N    N
 LD F2, R4, 28(R4)          50    66    67    92    93   N    N    Y
 ADDD F1, F2, F3            66    67    94    96    97   Y    N    N
 MULD F4, F2, F3            79    80    94    124   125  Y    N    N
 DIVD F5, F4, F3            80    81    126   176   177  Y    N    N
 MULD F6, F1, F3            81    82    98    128   129  Y    N    N
 SD, F6, R2, 32(R2)         82    94    130   144   145  Y    N    Y
 ADDD F4, F1, F3            103   126   127   129   130  N    Y    N
 DADD R4, R1, R2            126   127   128   129   130  N    N    N
 DADD R3, R4, R3            127   131   132   133   134  N    N    Y
 SW, R3, R4, 60(R4)         131   146   147   167   168  N    N    Y
 DSUBI R3, R3, 4.0          155   156   157   158   159  N    N    N
 BEQ, R2, R3                156   157   160   0     0    Y    N    N
 HLT                        157   161   0     0     0    N    N    N
 HLT                        161   0     0     0     0    N    N    N

ICache:: Requests: 25 , Hits: 20
DCache:: Requests: 8 , Hits: 3
